ResourceName,ProjectID,Region,Importance,LastActivity,AssetType,FullResourcePath
gke-l7-global-external-managed,gemini-poc-486906,me-central1,High,Unknown (Always Important),gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-l7-global-external-managed
gke-l7-gxlb,gemini-poc-486906,me-central1,High,Unknown (Always Important),gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-l7-gxlb
gke-l7-regional-external-managed,gemini-poc-486906,me-central1,High,Unknown (Always Important),gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-l7-regional-external-managed
gke-l7-rilb,gemini-poc-486906,me-central1,High,Unknown (Always Important),gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-l7-rilb
gke-passthrough-lb-external-managed,gemini-poc-486906,me-central1,High,Unknown (Always Important),gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-passthrough-lb-external-managed
gke-passthrough-lb-internal-managed,gemini-poc-486906,me-central1,High,Unknown (Always Important),gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-passthrough-lb-internal-managed
gke-persistent-fast-regional-external-managed,gemini-poc-486906,me-central1,High,Unknown (Always Important),gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-persistent-fast-regional-external-managed
gke-persistent-fast-regional-internal-managed,gemini-poc-486906,me-central1,High,Unknown (Always Important),gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-persistent-fast-regional-internal-managed
gke-persistent-regional-external-managed,gemini-poc-486906,me-central1,High,Unknown (Always Important),gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-persistent-regional-external-managed
gke-persistent-regional-internal-managed,gemini-poc-486906,me-central1,High,Unknown (Always Important),gateway.networking.k8s.io/GatewayClass,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-persistent-regional-internal-managed
