ResourceName,ProjectID,Region,Importance,LastActivity,AssetType,FullResourcePath
admin,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/admin
anet-operator-cluster-role,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/anet-operator-cluster-role
antrea-agent,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/antrea-agent
antrea-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/antrea-controller
antrea-cpha,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/antrea-cpha
ca-cr-actor,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/ca-cr-actor
ca-pr-beta-actor,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/ca-pr-beta-actor
cilium,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/cilium
cilium-win,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/cilium-win
cluster-admin,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/cluster-admin
cluster-autoscaler,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/cluster-autoscaler
edit,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/edit
efficiency-daemon,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/efficiency-daemon
egress-nat-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRole,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterroles/egress-nat-controller
