ResourceName,AssetType,ProjectID,Region,FullResourcePath
collector,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/apps/daemonsets/collector
dcgm-exporter,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-system/apps/daemonsets/dcgm-exporter
gke-common-nri-plugin,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-system/apps/daemonsets/gke-common-nri-plugin
anetd,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/daemonsets/anetd
anetd-l,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/daemonsets/anetd-l
anetd-m,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/daemonsets/anetd-m
anetd-s,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/daemonsets/anetd-s
anetd-win,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/daemonsets/anetd-win
anetd-xl,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/daemonsets/anetd-xl
anetd-xs,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/daemonsets/anetd-xs
efficiency-daemon,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/daemonsets/efficiency-daemon
filestore-node,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/daemonsets/filestore-node
fluentbit-gke-big,apps.k8s.io/DaemonSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/daemonsets/fluentbit-gke-big
