ResourceName,AssetType,ProjectID,Region,FullResourcePath
gmp-operator,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/apps/deployments/gmp-operator
rule-evaluator,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/apps/deployments/rule-evaluator
antrea-controller,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/deployments/antrea-controller
antrea-controller-horizontal-autoscaler,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/deployments/antrea-controller-horizontal-autoscaler
egress-nat-controller,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/deployments/egress-nat-controller
event-exporter-gke,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/deployments/event-exporter-gke
filestore-lock-release-controller,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/deployments/filestore-lock-release-controller
konnectivity-agent,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/deployments/konnectivity-agent
konnectivity-agent-autoscaler,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/deployments/konnectivity-agent-autoscaler
kube-dns,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/deployments/kube-dns
kube-dns-autoscaler,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/deployments/kube-dns-autoscaler
l7-default-backend,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/deployments/l7-default-backend
metrics-server-v1.34.1,apps.k8s.io/Deployment,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/deployments/metrics-server-v1.34.1
