ResourceName,AssetType,ProjectID,Region,FullResourcePath
gmp-operator-74d955695b,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/apps/replicasets/gmp-operator-74d955695b
rule-evaluator-657d9d44c7,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/apps/replicasets/rule-evaluator-657d9d44c7
antrea-controller-9d5746fd7,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/replicasets/antrea-controller-9d5746fd7
antrea-controller-horizontal-autoscaler-5ff9fbf69f,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/replicasets/antrea-controller-horizontal-autoscaler-5ff9fbf69f
egress-nat-controller-5d6f788b48,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/replicasets/egress-nat-controller-5d6f788b48
event-exporter-gke-6f95bbdc4b,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/replicasets/event-exporter-gke-6f95bbdc4b
filestore-lock-release-controller-d4544498b,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/replicasets/filestore-lock-release-controller-d4544498b
konnectivity-agent-autoscaler-599f686b68,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/replicasets/konnectivity-agent-autoscaler-599f686b68
konnectivity-agent-cf666b8b5,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/replicasets/konnectivity-agent-cf666b8b5
kube-dns-autoscaler-5dc856c59d,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/replicasets/kube-dns-autoscaler-5dc856c59d
kube-dns-f6c6f978f,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/replicasets/kube-dns-f6c6f978f
l7-default-backend-6d8756cdc8,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/replicasets/l7-default-backend-6d8756cdc8
metrics-server-v1.34.1-65bdc58b67,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/replicasets/metrics-server-v1.34.1-65bdc58b67
metrics-server-v1.34.1-7c94f747f9,apps.k8s.io/ReplicaSet,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/apps/replicasets/metrics-server-v1.34.1-7c94f747f9
