ResourceName,AssetType,ProjectID,Region,FullResourcePath
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/_dns-tcp._tcp.kube-dns.kube-system.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/_dns._udp.kube-dns.kube-system.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/_http._tcp.default-http-backend.kube-system.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/_https._tcp.kubernetes.default.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/_legacy._tcp.gmp-operator.gke-gmp-system.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/_rule-evaluator._tcp.rule-evaluator.gke-gmp-system.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/_webhook._tcp.gmp-operator.gke-gmp-system.svc.cluster.local./SRV
A,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/antrea.kube-system.svc.cluster.local./A
NS,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/cluster.local./NS
SOA,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/cluster.local./SOA
A,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/default-http-backend.kube-system.svc.cluster.local./A
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/default-http-backend.kube-system.svc.cluster.local./SRV
TXT,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/dns-version.cluster.local./TXT
A,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/gmp-operator.gke-gmp-system.svc.cluster.local./A
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/gmp-operator.gke-gmp-system.svc.cluster.local./SRV
A,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/kube-dns.kube-system.svc.cluster.local./A
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/kube-dns.kube-system.svc.cluster.local./SRV
A,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/kubernetes.default.svc.cluster.local./A
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/kubernetes.default.svc.cluster.local./SRV
A,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/metrics-server.kube-system.svc.cluster.local./A
A,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/rule-evaluator.gke-gmp-system.svc.cluster.local./A
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,global,//dns.googleapis.com/projects/812405213898/locations/global/managedZones/342517137862567599/rrsets/rule-evaluator.gke-gmp-system.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,me-central1-a,//dns.googleapis.com/projects/812405213898/locations/me-central1-a/managedZones/3826962155893311196/rrsets/_dns-tcp._tcp.kube-dns.kube-system.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,me-central1-a,//dns.googleapis.com/projects/812405213898/locations/me-central1-a/managedZones/3826962155893311196/rrsets/_dns._udp.kube-dns.kube-system.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,me-central1-a,//dns.googleapis.com/projects/812405213898/locations/me-central1-a/managedZones/3826962155893311196/rrsets/_http._tcp.default-http-backend.kube-system.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,me-central1-a,//dns.googleapis.com/projects/812405213898/locations/me-central1-a/managedZones/3826962155893311196/rrsets/_https._tcp.kubernetes.default.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,me-central1-a,//dns.googleapis.com/projects/812405213898/locations/me-central1-a/managedZones/3826962155893311196/rrsets/_legacy._tcp.gmp-operator.gke-gmp-system.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,me-central1-a,//dns.googleapis.com/projects/812405213898/locations/me-central1-a/managedZones/3826962155893311196/rrsets/_rule-evaluator._tcp.rule-evaluator.gke-gmp-system.svc.cluster.local./SRV
SRV,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,me-central1-a,//dns.googleapis.com/projects/812405213898/locations/me-central1-a/managedZones/3826962155893311196/rrsets/_webhook._tcp.gmp-operator.gke-gmp-system.svc.cluster.local./SRV
A,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,me-central1-a,//dns.googleapis.com/projects/812405213898/locations/me-central1-a/managedZones/3826962155893311196/rrsets/antrea.kube-system.svc.cluster.local./A
NS,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,me-central1-a,//dns.googleapis.com/projects/812405213898/locations/me-central1-a/managedZones/3826962155893311196/rrsets/cluster.local./NS
SOA,dns.googleapis.com/ResourceRecordSet,gemini-poc-486906,me-central1-a,//dns.googleapis.com/projects/812405213898/locations/me-central1-a/managedZones/3826962155893311196/rrsets/cluster.local./SOA
