ResourceName,AssetType,ProjectID,Region,FullResourcePath
gke-l7-global-external-managed,gateway.networking.k8s.io/GatewayClass,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-l7-global-external-managed
gke-l7-gxlb,gateway.networking.k8s.io/GatewayClass,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-l7-gxlb
gke-l7-regional-external-managed,gateway.networking.k8s.io/GatewayClass,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-l7-regional-external-managed
gke-l7-rilb,gateway.networking.k8s.io/GatewayClass,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-l7-rilb
gke-passthrough-lb-external-managed,gateway.networking.k8s.io/GatewayClass,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-passthrough-lb-external-managed
gke-passthrough-lb-internal-managed,gateway.networking.k8s.io/GatewayClass,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-passthrough-lb-internal-managed
gke-persistent-fast-regional-external-managed,gateway.networking.k8s.io/GatewayClass,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-persistent-fast-regional-external-managed
gke-persistent-fast-regional-internal-managed,gateway.networking.k8s.io/GatewayClass,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-persistent-fast-regional-internal-managed
gke-persistent-regional-external-managed,gateway.networking.k8s.io/GatewayClass,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-persistent-regional-external-managed
gke-persistent-regional-internal-managed,gateway.networking.k8s.io/GatewayClass,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/apis/gateway.networking.k8s.io/gatewayclasses/gke-persistent-regional-internal-managed
