ResourceName,AssetType,ProjectID,Region,FullResourcePath
default,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/default/serviceaccounts/default
collector,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/serviceaccounts/collector
default,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/serviceaccounts/default
operator,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/serviceaccounts/operator
default,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-cim/serviceaccounts/default
kube-state-metrics,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-cim/serviceaccounts/kube-state-metrics
default,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-filestorecsi/serviceaccounts/default
default,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-parallelstorecsi/serviceaccounts/default
default,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-system/serviceaccounts/default
gke-common-nri-plugin,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-system/serviceaccounts/gke-common-nri-plugin
default,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-volumepopulator/serviceaccounts/default
default,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gmp-public/serviceaccounts/default
default,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-node-lease/serviceaccounts/default
default,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-public/serviceaccounts/default
antrea-agent,k8s.io/ServiceAccount,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/serviceaccounts/antrea-agent
