ResourceName,AssetType,ProjectID,Region,FullResourcePath
operator,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/rbac.authorization.k8s.io/roles/operator
filestorecsi-lockrelease-role,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-filestorecsi/rbac.authorization.k8s.io/roles/filestorecsi-lockrelease-role
filestorecsi-node-driver-role,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-filestorecsi/rbac.authorization.k8s.io/roles/filestorecsi-node-driver-role
filestorecsi-node-leaderelection-role,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-filestorecsi/rbac.authorization.k8s.io/roles/filestorecsi-node-leaderelection-role
parallelstore-csi-mounter-controller-role,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-parallelstorecsi/rbac.authorization.k8s.io/roles/parallelstore-csi-mounter-controller-role
parallelstore-csi-mounter-node-role,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-parallelstorecsi/rbac.authorization.k8s.io/roles/parallelstore-csi-mounter-node-role
gke-volume-populator-leaderelection-role,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-volumepopulator/rbac.authorization.k8s.io/roles/gke-volume-populator-leaderelection-role
operator,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gmp-public/rbac.authorization.k8s.io/roles/operator
system:controller:bootstrap-signer,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-public/rbac.authorization.k8s.io/roles/system:controller:bootstrap-signer
antrea-agent-installer,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/antrea-agent-installer
antrea-cpha,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/antrea-cpha
cni-writer,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/cni-writer
extension-apiserver-authentication-reader,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/extension-apiserver-authentication-reader
filestorecsi-leaderelection-role,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/filestorecsi-leaderelection-role
gce:gke-metadata-server-config-reader,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/gce:gke-metadata-server-config-reader
gke-spiffe-leaderelection,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/gke-spiffe-leaderelection
gke:cloud-provider,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/gke:cloud-provider
konnectivity-agent-cpha,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/konnectivity-agent-cpha
leases-reader,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/leases-reader
leases-writer,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/leases-writer
parallelstore-csi-leaderelection-role,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/parallelstore-csi-leaderelection-role
pdcsi-leaderelection,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/pdcsi-leaderelection
snapshot-controller-leaderelection,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/snapshot-controller-leaderelection
system::leader-locking-cloud-controller-manager,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/system::leader-locking-cloud-controller-manager
system::leader-locking-kube-controller-manager,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/system::leader-locking-kube-controller-manager
system::leader-locking-kube-scheduler,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/system::leader-locking-kube-scheduler
system::leader-locking-service-steering,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/system::leader-locking-service-steering
system:anet-manager-role,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/system:anet-manager-role
system:clustermetrics,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/system:clustermetrics
system:controller:bootstrap-signer,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/system:controller:bootstrap-signer
system:controller:cloud-provider,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/system:controller:cloud-provider
system:controller:glbc,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/system:controller:glbc
system:controller:token-cleaner,rbac.authorization.k8s.io/Role,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-system/rbac.authorization.k8s.io/roles/system:controller:token-cleaner
