ResourceName,AssetType,ProjectID,Region,FullResourcePath
operator,rbac.authorization.k8s.io/RoleBinding,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-gmp-system/rbac.authorization.k8s.io/rolebindings/operator
filestorecsi-lockrelease-leaderelection-binding-v2,rbac.authorization.k8s.io/RoleBinding,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-filestorecsi/rbac.authorization.k8s.io/rolebindings/filestorecsi-lockrelease-leaderelection-binding-v2
filestorecsi-lockrelease-role-binding,rbac.authorization.k8s.io/RoleBinding,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-filestorecsi/rbac.authorization.k8s.io/rolebindings/filestorecsi-lockrelease-role-binding
filestorecsi-node-driver-role-binding-v2,rbac.authorization.k8s.io/RoleBinding,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-filestorecsi/rbac.authorization.k8s.io/rolebindings/filestorecsi-node-driver-role-binding-v2
filestorecsi-node-leaderelection-binding-v2,rbac.authorization.k8s.io/RoleBinding,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-filestorecsi/rbac.authorization.k8s.io/rolebindings/filestorecsi-node-leaderelection-binding-v2
parallelstore-csi-controller-binding,rbac.authorization.k8s.io/RoleBinding,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-parallelstorecsi/rbac.authorization.k8s.io/rolebindings/parallelstore-csi-controller-binding
parallelstore-csi-node-binding,rbac.authorization.k8s.io/RoleBinding,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-parallelstorecsi/rbac.authorization.k8s.io/rolebindings/parallelstore-csi-node-binding
gke-volume-populator-leaderelection-binding,rbac.authorization.k8s.io/RoleBinding,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gke-managed-volumepopulator/rbac.authorization.k8s.io/rolebindings/gke-volume-populator-leaderelection-binding
operator,rbac.authorization.k8s.io/RoleBinding,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/gmp-public/rbac.authorization.k8s.io/rolebindings/operator
system:controller:bootstrap-signer,rbac.authorization.k8s.io/RoleBinding,gemini-poc-486906,me-central1,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/namespaces/kube-public/rbac.authorization.k8s.io/rolebindings/system:controller:bootstrap-signer
