ResourceName,AssetType,ProjectID,Region,FullResourcePath
analyticshub.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/analyticshub.googleapis.com
appoptimize.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/appoptimize.googleapis.com
artifactregistry.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/artifactregistry.googleapis.com
autoscaling.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/autoscaling.googleapis.com
bigquery.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/bigquery.googleapis.com
bigqueryconnection.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/bigqueryconnection.googleapis.com
bigquerydatapolicy.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/bigquerydatapolicy.googleapis.com
bigquerydatatransfer.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/bigquerydatatransfer.googleapis.com
bigquerymigration.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/bigquerymigration.googleapis.com
bigqueryreservation.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/bigqueryreservation.googleapis.com
bigquerystorage.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/bigquerystorage.googleapis.com
cloudaicompanion.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/cloudaicompanion.googleapis.com
cloudapis.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/cloudapis.googleapis.com
cloudasset.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/cloudasset.googleapis.com
cloudbuild.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/cloudbuild.googleapis.com
cloudtrace.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/cloudtrace.googleapis.com
compute.googleapis.com,serviceusage.googleapis.com/Service,gemini-poc-486906,global,//serviceusage.googleapis.com/projects/812405213898/services/compute.googleapis.com
